a = 00004567, b = 23c6, yout = 00000000
a = 00008ace, b = 11e3, yout = 00000000
a = 0001159c, b = 08f1, yout = 00008ace
a = 00022b38, b = 0478, yout = 0001a06a
a = 00045670, b = 023c, yout = 0001a06a
a = 0008ace0, b = 011e, yout = 0001a06a
a = 001159c0, b = 008f, yout = 0001a06a
a = 0022b380, b = 0047, yout = 0012fa2a
a = 00456700, b = 0023, yout = 0035adaa
a = 008ace00, b = 0011, yout = 007b14aa
a = 01159c00, b = 0008, yout = 0105e2aa
a = 022b3800, b = 0004, yout = 0105e2aa
a = 04567000, b = 0002, yout = 0105e2aa
a = 08ace000, b = 0001, yout = 0105e2aa
17767 * 9158 = 09b2c2aa, Reality = 09b2c2aa
a = 00009869, b = 4873, yout = 00000000
a = 000130d2, b = 2439, yout = 00009869
a = 000261a4, b = 121c, yout = 0001c93b
a = 0004c348, b = 090e, yout = 0001c93b
a = 00098690, b = 0487, yout = 0001c93b
a = 00130d20, b = 0243, yout = 000b4fcb
a = 00261a40, b = 0121, yout = 001e5ceb
a = 004c3480, b = 0090, yout = 0044772b
a = 00986900, b = 0048, yout = 0044772b
a = 0130d200, b = 0024, yout = 0044772b
a = 0261a400, b = 0012, yout = 0044772b
a = 04c34800, b = 0009, yout = 0044772b
a = 09869000, b = 0004, yout = 0507bf2b
a = 130d2000, b = 0002, yout = 0507bf2b
a = 261a4000, b = 0001, yout = 0507bf2b
39017 * 18547 = 2b21ff2b, Reality = 2b21ff2b
a = 0000dc51, b = 5cff, yout = 00000000
a = 0001b8a2, b = 2e7f, yout = 0000dc51
a = 00037144, b = 173f, yout = 000294f3
a = 0006e288, b = 0b9f, yout = 00060637
a = 000dc510, b = 05cf, yout = 000ce8bf
a = 001b8a20, b = 02e7, yout = 001aadcf
a = 00371440, b = 0173, yout = 003637ef
a = 006e2880, b = 00b9, yout = 006d4c2f
a = 00dc5100, b = 005c, yout = 00db74af
a = 01b8a200, b = 002e, yout = 00db74af
a = 03714400, b = 0017, yout = 00db74af
a = 06e28800, b = 000b, yout = 044cb8af
a = 0dc51000, b = 0005, yout = 0b2f40af
a = 1b8a2000, b = 0002, yout = 18f450af
a = 37144000, b = 0001, yout = 18f450af
56401 * 23807 = 500890af, Reality = 500890af
a = 0000944a, b = 58ec, yout = 00000000
a = 00012894, b = 2c76, yout = 00000000
a = 00025128, b = 163b, yout = 00000000
a = 0004a250, b = 0b1d, yout = 00025128
a = 000944a0, b = 058e, yout = 0006f378
a = 00128940, b = 02c7, yout = 0006f378
a = 00251280, b = 0163, yout = 00197cb8
a = 004a2500, b = 00b1, yout = 003e8f38
a = 00944a00, b = 0058, yout = 0088b438
a = 01289400, b = 002c, yout = 0088b438
a = 02512800, b = 0016, yout = 0088b438
a = 04a25000, b = 000b, yout = 0088b438
a = 0944a000, b = 0005, yout = 052b0438
a = 12894000, b = 0002, yout = 0e6fa438
a = 25128000, b = 0001, yout = 0e6fa438
37962 * 22764 = 33822438, Reality = 33822438
a = 00001f29, b = 7ccd, yout = 00000000
a = 00003e52, b = 3e66, yout = 00001f29
a = 00007ca4, b = 1f33, yout = 00001f29
a = 0000f948, b = 0f99, yout = 00009bcd
a = 0001f290, b = 07cc, yout = 00019515
a = 0003e520, b = 03e6, yout = 00019515
a = 0007ca40, b = 01f3, yout = 00019515
a = 000f9480, b = 00f9, yout = 00095f55
a = 001f2900, b = 007c, yout = 0018f3d5
a = 003e5200, b = 003e, yout = 0018f3d5
a = 007ca400, b = 001f, yout = 0018f3d5
a = 00f94800, b = 000f, yout = 009597d5
a = 01f29000, b = 0007, yout = 018edfd5
a = 03e52000, b = 0003, yout = 03816fd5
a = 07ca4000, b = 0001, yout = 07668fd5
7977 * 31949 = 0f30cfd5, Reality = 0f30cfd5
a = 000058ba, b = d7ab, yout = 00000000
a = 0000b174, b = 6bd5, yout = 000058ba
a = 000162e8, b = 35ea, yout = 00010a2e
a = 0002c5d0, b = 1af5, yout = 00010a2e
a = 00058ba0, b = 0d7a, yout = 0003cffe
a = 000b1740, b = 06bd, yout = 0003cffe
a = 00162e80, b = 035e, yout = 000ee73e
a = 002c5d00, b = 01af, yout = 000ee73e
a = 0058ba00, b = 00d7, yout = 003b443e
a = 00b17400, b = 006b, yout = 0093fe3e
a = 0162e800, b = 0035, yout = 0145723e
a = 02c5d000, b = 001a, yout = 02a85a3e
a = 058ba000, b = 000d, yout = 02a85a3e
a = 0b174000, b = 0006, yout = 0833fa3e
a = 162e8000, b = 0003, yout = 0833fa3e
a = 2c5d0000, b = 0001, yout = 1e627a3e
22714 * 55211 = 4abf7a3e, Reality = 4abf7a3e
a = 000041f2, b = 1efb, yout = 00000000
a = 000083e4, b = 0f7d, yout = 000041f2
a = 000107c8, b = 07be, yout = 0000c5d6
a = 00020f90, b = 03df, yout = 0000c5d6
a = 00041f20, b = 01ef, yout = 0002d566
a = 00083e40, b = 00f7, yout = 0006f486
a = 00107c80, b = 007b, yout = 000f32c6
a = 0020f900, b = 003d, yout = 001faf46
a = 0041f200, b = 001e, yout = 0040a846
a = 0083e400, b = 000f, yout = 0040a846
a = 0107c800, b = 0007, yout = 00c48c46
a = 020f9000, b = 0003, yout = 01cc5446
a = 041f2000, b = 0001, yout = 03dbe446
16882 * 7931 = 07fb0446, Reality = 07fb0446
a = 0000a9e3, b = e146, yout = 00000000
a = 000153c6, b = 70a3, yout = 00000000
a = 0002a78c, b = 3851, yout = 000153c6
a = 00054f18, b = 1c28, yout = 0003fb52
a = 000a9e30, b = 0e14, yout = 0003fb52
a = 00153c60, b = 070a, yout = 0003fb52
a = 002a78c0, b = 0385, yout = 0003fb52
a = 0054f180, b = 01c2, yout = 002e7412
