Running vlog95 compiler/VVP tests for Icarus Verilog version: 0.10.
----------------------------------------------------------------------------
                      case1: Passed.
                      case2: Passed.
                      case4: Passed.
                      case5: Passed.
             case5-syn-fail: Passed.
                      case6: Passed.
                      case7: Passed.
                    condit1: Passed.
                 basiclatch: Passed.
                 basicstate: Passed.
                basicstate2: Passed.
                   multireg: Passed.
                blocksynth1: Passed.
                blocksynth2: Passed.
                blocksynth3: Passed.
               conditsynth1: Passed.
               conditsynth2: Passed.
               conditsynth3: Passed.
                 casesynth1: Passed.
                 casesynth2: Passed.
                 casesynth3: Passed.
                  lcatsynth: Passed.
                   dffsynth: Passed.
                  dffsynth2: Passed.
                  dffsynth3: Passed.
                  dffsynth4: Passed.
                sqrt32synth: Passed.
                  memsynth1: Passed.
                  memsynth2: Passed.
                  memsynth3: Passed.
                  memsynth4: Passed.
                  memsynth5: Passed.
                  memsynth6: Passed.
                  memsynth7: Passed.
                  memsynth9: Passed.
                   ssetclr1: Passed.
                   ssetclr2: Passed.
                   ssetclr3: Passed.
               inside_synth: Passed.
              inside_synth2: Passed.
              inside_synth3: Passed.
                  mix_reset: Passed.
                casex_synth: Passed.
                  full_case: Passed.
          automatic_error11: Not Implemented.
          automatic_error12: Not Implemented.
          automatic_error13: Not Implemented.
           automatic_events: Not Implemented.
          automatic_events2: Not Implemented.
          automatic_events3: Not Implemented.
      automatic_events3_std: Not Implemented.
             automatic_task: Not Implemented.
            automatic_task2: Not Implemented.
            automatic_task3: Not Implemented.
                def_nettype: Not Implemented.
                nested_func: Not Implemented.
                  pr2169870: Not Implemented.
                 pr2172606b: Not Implemented.
                  pr2276163: Not Implemented.
                  pr2929913: Not Implemented.
             recursive_func: Not Implemented.
             recursive_task: Not Implemented.
                     array6: Passed - CE.
               array_select: Passed - CE.
                      bitp1: Passed - CE.
                       bits: Passed - CE.
                      bits2: Passed - CE.
                     br917a: Passed - CE.
                     br917b: Passed - CE.
                     br917c: Passed - CE.
                     br917d: Passed - CE.
                      br919: Passed - CE.
                    ca_mult: Passed - CE.
           cast_real_signed: Passed - CE.
           enum_elem_ranges: Passed - CE.
                  enum_next: Passed - CE.
                 enum_test1: Passed - CE.
            enum_value_expr: Passed - CE.
                enum_values: Passed - CE.
                     extend: Passed - CE.
             first_last_num: Passed - CE.
               inc_dec_stmt: Passed - CE.
                  int_param: Passed - CE.
                     iuint1: Passed - CE.
                      logp2: Passed - CE.
                    packeda: Not Implemented.
                     plus_5: Passed - CE.
                     pow-ca: Passed - CE.
                   pow-proc: Passed - CE.
                     pr1002: Passed - CE.
                    pr1002a: Passed - CE.
                     pr1033: Passed - CE.
                  pr1380261: Passed - CE.
                  pr1494799: Passed - CE.
                  pr1522570: Passed - CE.
                  pr1589497: Passed - CE.
                  pr1603313: Passed - CE.
                  pr1717361: Passed - CE.
                  pr1719055: Passed - CE.
                  pr1845683: Passed - CE.
                  pr1879226: Passed - CE.
                  pr1883052: Passed - CE.
                 pr1883052b: Passed - CE.
                  pr1950282: Passed - CE.
                  pr1958801: Passed - CE.
                  pr1990164: Passed - CE.
                  pr1993479: Passed - CE.
                  pr2030767: Passed - CE.
                  pr2076391: Passed - CE.
                  pr2117473: Passed - CE.
                  pr2121536: Not Implemented.
                 pr2121536b: Not Implemented.
                  pr2152011: Passed - CE.
                  pr2159630: Passed - CE.
                  pr2233180: Passed - CE.
                 pr2233180b: Passed - CE.
                 pr2233180c: Passed - CE.
                  pr2233192: Passed - CE.
                 pr2233192b: Passed - CE.
                 pr2233192c: Passed - CE.
                  pr2352834: Passed - CE.
                 pr2425055b: Passed - CE.
                 pr2425055c: Passed - CE.
                 pr2722330b: Passed - CE.
                 pr2722339a: Passed - CE.
                 pr2722339b: Passed - CE.
                  pr2901556: Passed - CE.
                 pr2909386b: Passed - CE.
                  pr2909555: Passed - CE.
                  pr2913404: Passed - CE.
                  pr2913416: Passed - CE.
                 pr2913438b: Passed - CE.
                 pr2922063b: Passed - CE.
                  pr2986528: Passed - CE.
                  pr2998515: Passed - CE.
                 pr3054101d: Passed - CE.
                  pr3077640: Passed - CE.
                  pr3104254: Passed - CE.
                  pr3284821: Passed - CE.
                  pr3292735: Passed - CE.
                      pr748: Passed - CE.
                 sbyte_test: Passed - CE.
                     shift2: Passed - CE.
                     shift3: Passed - CE.
                     shift4: Passed - CE.
                     shift5: Passed - CE.
                    signed1: Passed - CE.
                    signed4: Passed - CE.
                    signed6: Passed - CE.
                    signed7: Passed - CE.
                    signed8: Passed - CE.
                    signed9: Passed - CE.
                   signed10: Passed - CE.
                   signed12: Passed - CE.
                   signed_a: Passed - CE.
         signed_net_display: Passed - CE.
                signed_part: Passed - CE.
                  signed_pv: Passed - CE.
                simple_byte: Passed - CE.
                 simple_int: Passed - CE.
             simple_longint: Passed - CE.
            simple_shortint: Passed - CE.
                  sint_test: Passed - CE.
              slongint_test: Passed - CE.
             sshortint_test: Passed - CE.
        struct_packed_array: Passed - CE.
       struct_packed_array2: Passed - CE.
             test_dispwided: Passed - CE.
            test_enumsystem: Passed - CE.
               test_inc_dec: Passed - CE.
                test_system: Passed - CE.
              test_tliteral: Passed - CE.
          two_state_display: Passed - CE.
                 ubyte_test: Passed - CE.
                  uint_test: Passed - CE.
              ulongint_test: Passed - CE.
            undefined_shift: Passed - CE.
             ushortint_test: Passed - CE.
            vhdl_sadd23_bit: Passed - CE.
            vhdl_sdiv23_bit: Passed - CE.
            vhdl_ssub23_bit: Passed - CE.
            vhdl_smul23_bit: Passed - CE.
       vhdl_sadd23_stdlogic: Passed - CE.
       vhdl_sdiv23_stdlogic: Passed - CE.
       vhdl_ssub23_stdlogic: Passed - CE.
       vhdl_smul23_stdlogic: Passed - CE.
                    concat3: Passed - expected fail.
                      mult2: Not Implemented.
                      pr757: Passed - expected fail.
                  pr1698499: Passed - expected fail.
                  pr1793749: Passed - expected fail.
                 pr1793749b: Passed - expected fail.
                  pr1823732: Passed - CE.
                  pr1841300: Passed - expected fail.
                  pr1960619: Passed - expected fail.
                  pr1963240: Passed - expected fail.
                  pr2136787: Passed - expected fail.
                  pr2138979: Passed - expected fail.
                 pr2138979b: Passed - expected fail.
                 pr2138979c: Passed - expected fail.
                 pr2138979d: Passed - expected fail.
                  pr2922063: Passed - CE.
                 pr2922063a: Passed - CE.
             select_padding: Passed - expected fail.
                    signed5: Passed - expected fail.
                 pr2722330a: Passed - CE.
                    big_int: Passed - CE.
                  pr2673846: Passed - CE.
                  pr2029336: Passed - CE.
             array_select_a: Passed - CE.
          array_word_width2: Passed - CE.
                 ca_64delay: Passed - CE.
           check_constant_8: Passed - CE.
           check_constant_9: Passed - CE.
          check_constant_10: Passed - CE.
          check_constant_11: Passed - CE.
          check_constant_16: Passed - CE.
          check_constant_17: Passed - CE.
              genvar_scopes: Passed - CE.
                   meminit2: Passed - CE.
                  pr1565544: Passed - CE.
                  pr1657307: Passed - CE.
                  pr1695322: Passed - CE.
                 pr1701855b: Passed - CE.
                  pr1703346: Passed - CE.
                 pr1740476b: Passed - CE.
                  pr1758122: Passed - CE.
                  pr1799904: Passed - CE.
                  pr1820472: Passed - CE.
                  pr1868792: Passed - CE.
                  pr1876798: Passed - CE.
                  pr1903324: Passed - CE.
                  pr2011429: Passed - CE.
                  pr2201909: Passed - CE.
                 pr2201909b: Passed - CE.
                  pr2166311: Passed - CE.
                  pr2715748: Passed - CE.
                 pr2815398b: Passed - CE.
                 pr3054101g: Passed - CE.
                 pr3054101h: Passed - CE.
                  pr3592746: Passed - CE.
              real_array_nb: Passed - CE.
               scan-invalid: Passed - CE.
            sel_rval_bit_ob: Passed - CE.
           sel_rval_part_ob: Passed - CE.
               test_varray1: Passed - CE.
         cast_real_unsigned: Not Implemented.
                    ca_time: Not Implemented.
               ca_var_delay: Not Implemented.
                      clog2: Not Implemented.
              delayed_sfunc: Not Implemented.
                 pr1861212c: Not Implemented.
                 pr1864110a: Not Implemented.
                 pr1864110b: Not Implemented.
                 pr1864110c: Not Implemented.
                  pr1864115: Not Implemented.
                  pr1873372: Not Implemented.
                  pr1880003: Not Implemented.
                  pr1898293: Not Implemented.
                  pr2123158: Not Implemented.
                  pr2123190: Not Implemented.
                 pr2453002b: Not Implemented.
                  pr2456943: Not Implemented.
                  pr2806474: Not Implemented.
                  pr2976242: Not Implemented.
                 pr2976242b: Not Implemented.
                      real8: Not Implemented.
                 real_array: Not Implemented.
             real_mod_in_ca: Not Implemented.
           real_pulse_clean: Not Implemented.
             real_pwr_in_ca: Not Implemented.
            real_wire_array: Not Implemented.
        real_wire_force_rel: Not Implemented.
                      tern8: Not Implemented.
                 v2005_math: Not Implemented.
                      wreal: Not Implemented.
                  pr1528093: Not Implemented.
                    analog1: Not Implemented.
                    analog2: Not Implemented.
                   cast_int: Not Implemented.
             test_vams_math: Not Implemented.
                  vams_abs1: Not Implemented.
                  vams_abs2: Not Implemented.
              ca_pow_signed: Not Implemented.
            ca_pow_unsigned: Not Implemented.
                 pow_signed: Not Implemented.
               ca_pow_synth: Not Implemented.
               pow_unsigned: Not Implemented.
                  pr2823711: Not Implemented.
                     rl_pow: Not Implemented.
                fatal_et_al: Passed.
                  fdisplay3: Passed.
           fdisplay_fail_fd: Passed.
          fdisplay_fail_mcd: Passed.
                     format: Passed.
                fread-error: Passed.
              fscanf_u_warn: Passed.
              fscanf_z_warn: Passed.
            localparam_type: Passed.
             parameter_type: Passed.
                       mem1: Passed.
                        pic: Passed.
                      pr910: Passed.
                  pr1819452: Passed.
                 pr2509349a: Passed.
                 pr2509349b: Passed.
                 pr2800985b: Passed.
                 queue_fail: Passed.
              readmem-error: Passed.
            readmem-invalid: Passed.
                     swrite: Passed.
        sys_func_task_error: Passed - RE.
           sys_func_as_task: Passed.
            warn_opt_sys_tf: Passed.
             writemem-error: Passed.
           writemem-invalid: Passed.
               complex_lidx: Passed - CE.
                  defparam3: Passed - CE.
                  defparam4: Passed - CE.
              gen_case_opt1: Passed - CE.
              gen_case_opt2: Passed - CE.
              gen_case_opt3: Passed - CE.
                    genloop: Not Implemented.
              generate_case: Passed - CE.
             generate_case2: Passed - CE.
             generate_case3: Passed - CE.
        generate_multi_loop: Passed - CE.
            negative_genvar: Passed - CE.
                 pr1565699b: Passed - CE.
                  pr1623097: Passed - CE.
                  pr1676071: Not Implemented.
                 pr1691599b: Passed - CE.
                  pr1695309: Passed - CE.
                 pr1704726a: Passed - CE.
                 pr1704726b: Passed - CE.
                 pr1704726c: Passed - CE.
                 pr1704726d: Passed - CE.
                  pr1755629: Passed - CE.
                  pr1828642: Passed - CE.
                  pr1833754: Passed - CE.
                  pr1956211: Passed - CE.
                  pr1960625: Passed - CE.
                 pr1988302b: Passed - CE.
                  pr1988302: Passed - CE.
                  pr1988310: Passed - CE.
                 pr2018235a: Passed - CE.
                  pr2039632: Passed - CE.
                  pr2091455: Passed - CE.
                  pr2109179: Passed - CE.
                  pr2138682: Passed - CE.
                 pr2257003b: Passed - CE.
                  pr2257003: Passed - CE.
                  pr2306259: Passed - CE.
                 pr2350934b: Passed - CE.
                  pr2350934: Passed - CE.
                  pr2350988: Passed - CE.
                  pr2355304: Passed - CE.
                 pr2728812a: Passed - CE.
                 pr2728812b: Passed - CE.
                  pr2809288: Passed - CE.
             pr2815398a_std: Passed - CE.
                 pr2815398a: Passed - CE.
                  pr2909414: Passed - CE.
                  pr2924354: Passed - CE.
                  pr3011327: Passed - CE.
                  pr3409749: Passed - CE.
                 pr3437290b: Passed - CE.
                  pr3527694: Passed - CE.
                  pr3534422: Passed - CE.
                  pr3557493: Passed - CE.
              scoped_events: Passed - CE.
                test_forgen: Passed - CE.
                  test_gxor: Passed - CE.
     unnamed_generate_block: Passed - CE.
                    bitsel6: Passed - CE.
                    bitsel7: Passed - CE.
                  pr1745005: Passed - CE.
                 pr2725700c: Passed - CE.
                 pr2835632b: Passed - CE.
                 pr3054101a: Passed - CE.
                 pr3054101b: Passed - CE.
                 pr3054101c: Passed - CE.
                 pr3054101e: Passed - CE.
                 pr3054101f: Passed - CE.
                   bitsel10: Passed - CE.
              countdrivers3: Passed - CE.
                      inout: Not Implemented.
                     inout2: Passed - CE.
                     inout3: Passed - CE.
                     inout4: Passed - CE.
                  pr1444055: Passed - CE.
                  pr1478121: Passed - CE.
                  pr2219441: Passed - CE.
                  pr3194155: Not Implemented.
                 pr3296466a: Passed - CE.
                 pr3296466b: Passed - CE.
                 pr3296466d: Passed - CE.
                  pr3452808: Not Implemented.
                       tri2: Passed - CE.
                  ibit_test: Passed - expected fail.
